"http://ieeexplore.ieee.org/myprojects/showProjectListings.jsp?projectId=269494",2013/12/14 13:49:17
"Document Title","Authors","Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier,Document Notes,Document Tags,Date Added,Update Date
"Towards an AST-Based Approach to Reverse Engineering","Wang, Xin; Xiaojie Yuan","Coll. of Inf. Tech. Sci., Nankai Univ., Tianjin","Electrical and Computer Engineering, 2006. CCECE '06. Canadian Conference on","May 2006","2006","","","422","425","Today, it is recognized that reverse-engineering activities play an important role in round-trip development and software maintenance. However, the precision of most existing reverse-engineering tools cannot meet the requirements of developers and maintainers, thus hampering understanding of software implementation. This paper presents an approach for recovering the UML class diagram from the Java source code, which traverses abstract syntax trees (AST) with the visitor pattern to build the corresponding UML model elements. The source code is completely and systematically analyzed by this approach. As a result, the precision of the generated design model will be substantially promoted","","1-4244-0038-4","1-4244-0038-4","10.1109/CCECE.2006.277552","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4054609","AST;Reverse engineering;UML model","Computer aided software engineering;Design engineering;Educational institutions;Java;Reverse engineering;Software design;Software maintenance;Software tools;Tree data structures;Unified modeling language","Java;Unified Modeling Language;abstract data types;computer aided software engineering;reverse engineering;software maintenance;software tools;tree data structures","AST-based approach;Java source code;UML class diagram;abstract syntax trees;design model;reverse engineering;round-trip development;software implementation;software maintenance;visitor pattern","","","","0","","6","","","20070115","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"The case for reverse engineering","Blaha, M.R.","OMT Associates Inc., USA","IT Professional","Mar/Apr 1999","1999","1","2","35","41","It may seem hard to choose between two software products, but studying their databases can reveal a clear winner and save you years of grief. The most productive way to reverse engineer a database is to build a model that conveys the software's scope and intent. For a clean database, you'll most likely want to prepare a model; for a flawed and poorly documented database, it may be best to stop after studying the style and quality of the database structure. At OMT Associates, we generally construct models-usually expressed as Unified Modeling Language (UML) object models. We typically organize reverse engineering into three phases-implementation recovery, design recovery, and analysis recovery. Reverse engineering is more than just a process for studying databases; it has profound implications for software development in general. You might view the reverse engineering of vendor databases as a creative response to the so-called software crisis. The current approach of preaching methodology and discipline isn't working, Software quality and development productivity still badly lag behind our desires. Database reverse engineering gives us both a carrot and a stick. The flaws and excellence of various products become more obvious and more heavily influence product success and failure. For a large corporation, the cost of the evaluation (as little as a few person-weeks) is trivial compared to the millions spent buying and deploying new software","1520-9202","","","10.1109/6294.774939","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=774939","","Computer aided software engineering;Design engineering;Design optimization;Documentation;Object oriented databases;Object oriented modeling;Relational databases;Reverse engineering;Solids;User interfaces","database management systems;reverse engineering;software quality;software selection","UML object models;Unified Modeling Language;analysis recovery;database structure;design recovery;development productivity;implementation recovery;large corporation;product success;reverse engineering;software crisis;software development;software product selection;software quality;vendor databases","","","","4","","","","","20020806","","IEEE","IEEE Computer Society","IEEE Journals & Magazines","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Object naming analysis for reverse-engineered sequence diagrams","Rountev, A.; Connell, B.H.","Dept. of Comput. Sci. & Eng., Ohio State Univ., USA","Software Engineering, 2005. ICSE 2005. Proceedings. 27th International Conference on","15-21 May 2005","2005","","","254","263","UML sequence diagrams are commonly used to represent object interactions in software systems. This paper considers the problem of extracting UML sequence diagrams from existing code for the purposes of software understanding and testing. A static analysis for such reverse engineering needs to map the interacting objects from the code to sequence diagram objects. We propose an interprocedural dataflow analysis algorithm that determines precisely which objects are the receivers of certain messages, and assigns the appropriate diagram objects to represent them. Our experiments indicate that the majority of message receivers can be determined exactly, resulting in highly-precise object naming for reverse-engineered sequence diagrams.","","1-59593-963-2","","10.1109/ICSE.2005.1553568","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1553568","","Algorithm design and analysis;Computer science;Java;Logic programming;Permission;Reverse engineering;Runtime;Software maintenance;Software testing;Unified modeling language","Unified Modeling Language;data flow analysis;object-oriented programming;program testing;reverse engineering;systems analysis","UML sequence diagrams;interprocedural dataflow analysis;object naming analysis;reverse-engineered sequence diagrams;software testing;software understanding;static analysis","","","","10","","21","","","20051219","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"A simple static model for understanding the dynamic behavior of programs","Kelsen, P.","Fac. of Sci., Technol. & Commun., Luxembourg Univ., Kirchberg, Luxembourg","Program Comprehension, 2004. Proceedings. 12th IEEE International Workshop on","24-26 June 2004","2004","","","46","51","To maintain software and to adapt it to changing requirements, one needs to have a solid understanding of both its structure and behavior. While there are a number of reverse engineering tools that aid in understanding the runtime behavior of programs, these are mostly based on variants of UML sequence diagrams or statechart diagrams. We propose a new model for understanding runtime behavior that presents several advantages over the more traditional models: it has a simple syntax (a very small subset of UML). Second one can tailor the same type of model to different abstraction levels while maintaining traceability. Third, they have a clearly defined semantics that makes them executable. Finally they capture both static and dynamic aspects of a system. We present three scenarios where our model - named EOP-model - aids with program comprehension: (1) high-level debugging, with which one can observe the execution of the program at a higher level of abstraction; (2) high-level program slicing, which allows to identify the data items in our model that may influence an operation, regardless of the abstraction level, and (3) generating abstract views at varying levels of detail while maintaining traceability between model elements and the code.","1092-8138","0-7695-2149-5","","10.1109/WPC.2004.1311046","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1311046","","Communications technology;Conferences;Data mining;Debugging;Educational programs;Reverse engineering;Runtime;Software maintenance;Unified modeling language;Visualization","Unified Modeling Language;program debugging;program slicing;reverse engineering;software maintenance","EOP-model;UML sequence diagrams;high-level debugging;program comprehension;program dynamic behavior;program slicing;program understanding;reverse engineering;software maintenance;statechart diagrams","","","","1","","16","","","20040712","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Recovering Concepts from Source Code with Automated Concept Identification","Carey, M.M.; Gannod, G.C.","Dept. of Comput. Sci. & Eng., Arizona State Univ., Tempe, AZ","Program Comprehension, 2007. ICPC '07. 15th IEEE International Conference on","26-29 June 2007","2007","","","27","36","The complexity of the systems that software engineers build has continuously grown since the inception of the field. What has not changed is the engineers' mental capacity to operate on about seven distinct pieces of information at a time. Improvements like the widespread use of UML have led to more abstract software design activities, however the same cannot be said for reverse engineering activities. The well known concept assignment problem is still being solved at the line-by-line level of analyzing source code. The introduction of abstraction to the problem will allow the engineer to move farther away from the details of the system, increasing his ability to see the role that domain level concepts play in the system. In this paper we present a technique that facilitates filtering of classes from existing systems at the source level based on their relationship to the core concepts in the domain. This approach can simplify the process of reverse engineering and design recovery, as well as other activities that require a mapping to domain level concepts.","1092-8138","0-7695-2860-0","","10.1109/ICPC.2007.31","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4268238","","Computer science;Engineering profession;Filtering;Machine learning;Psychology;Reverse engineering;Software design;Software systems;Systems engineering and theory;Unified modeling language","Unified Modeling Language;reverse engineering;software metrics","UML;automated concept identification;reverse engineering activity;software design activity;software engineer;software metric;source code","","","","6","","22","","","20070709","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Research on Reverse Engineering from Formal Models to UML Models","Wei Yan; Yugen Du","Software Eng. Inst., East China Normal Univ., Shanghai, China","Parallel Architectures, Algorithms and Programming (PAAP), 2010 Third International Symposium on","18-20 Dec. 2010","2010","","","406","411","The Unified Modeling Language (UML) provides a graphical notation to express the design of object-oriented software systems and has become the de facto industry standard for software design. However UML lacks precise semantics and is semi-formal. Formal specification languages are intended to provide precise and complete models for proposed software systems. Many researchers have done a lot of work in translating UML models into formal models to validate UML models. But in this paper, we discuss the reverse engineering problem, that is, when the formal models are validated and corrected, how to reverse them to UML models. We think this problem is more meaningful for software engineer. This paper presents a method that translates formal models into UML models by XMI and its Schema, and then testifies the feasibility and correctness of the reverse method by Unifying Theories of Programming (UTP).","","978-1-4244-9482-8","","10.1109/PAAP.2010.54","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5715116","UML;UTP;formal method;reverse transformation","Analytical models;Cognition;Mathematical model;Noise measurement;Object oriented modeling;Semantics;Unified modeling language","Unified Modeling Language;formal specification;object-oriented programming;reverse engineering","UML models;de facto industry standard;formal specification languages;object-oriented software systems;reverse engineering","","","","0","","50","","","20110217","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Application of UML associations and their adornments in design recovery","Kollmann, R.; Gogolla, M.","Dept. of Comput. Sci., Bremen Univ., Germany","Reverse Engineering, 2001. Proceedings. Eighth Working Conference on","2001","2001","","","81","90","Many CASE tools support reverse engineering and UML. However, it can be observed that, usually, only a subset of the UML notation is supported, namely those parts with a more or less direct code representation. Although a lot of research has been done in this field, the more advanced features of UML notations are not commonly supported in reverse engineering. In this paper, we show approaches to discover patterns in program code that can be represented by means of the advanced notational features of UML class diagrams. We obtain the necessary information by reverse-engineering Java programs with different methods. These have been implemented in a prototype implementation","1095-1350","0-7695-1303-4","","10.1109/WCRE.2001.957812","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=957812","","Application software;Computer aided software engineering;Computer science;Handicapped aids;Java;Marine vehicles;Prototypes;Reverse engineering;Software prototyping;Unified modeling language","Java;computer aided software engineering;diagrams;reverse engineering;software prototyping;specification languages","CASE tools;Java programs;UML associations;UML class diagrams;UML notations;adornment;composition;direct code representation;prototype implementation;reverse engineering;system design recovery","","","","6","","","","","20020807","02 Oct 2001-05 Oct 2001","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"CPP2XMI: Reverse Engineering of UML Class, Sequence, and Activity Diagrams from C++ Source Code","Korshunova, E.; Petkovic, M.; van den Brand, M.G.J.; Mousavi, M.R.","Lab. for Quality Software, Technische Universiteit Eindhoven","Reverse Engineering, 2006. WCRE '06. 13th Working Conference on","Oct. 2006","2006","","","297","298","In most cases, reverse engineering is used to retrieve missing design documentation from the source code in the form of an abstract (e.g., UML) model. In the context of this work, reverse engineering is used as a part of the verification and validation chain of software systems, where the static structure and the dynamic behavior of a system are derived from the source code and represented in XML Metadata Interchange (XMI) format. The obtained model is further analyzed for such characteristics as soundness and complexity of the system. XMI is a standard that enables us to express objects using Extensible Markup Language (XML). XMI can be used to represent objects from UML model in XML. In this paper, we describe a reverse engineering tool, CPP2XMI, which allows extracting UML class, sequence, and activity diagrams in XMI format from C++ source code, and its position in the toolset for software system analysis","1095-1350","0-7695-2719-1","","10.1109/WCRE.2006.21","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4024002","","Computer aided software engineering;Data mining;Information filtering;Information filters;Reverse engineering;Software systems;US Department of Transportation;Unified modeling language;Visualization;XML","C++ language;Unified Modeling Language;XML;program diagnostics;program verification;reverse engineering","C++ source code;CPP2XMI;Extensible Markup Language;UML activity diagram;UML class;UML sequence;XML Metadata Interchange;reverse engineering;software system analysis;software systems validation;software systems verification","","","","6","","7","","","20061211","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Abstract and precise recovery of UML class diagram constituents","Gue&#x0301;he&#x0301;neuc, Y.","Departement d''Informatique et de Recherche Operationnelle, Univ. de Montreal, Que., Canada","Software Maintenance, 2004. Proceedings. 20th IEEE International Conference on","11-14 Sept. 2004","2004","","","523","","Reverse-engineered UML class diagrams are neither abstract nor precise representations of source code because of the loose definitions of UML constituents. Thus, they are of little interest for software maintainers. We perform an exhaustive study of UML class diagrams constituents with respect to their recovery from C++, Java, and Smalltalk source code. We implement a tool suite, Ptidej, to reverse engineer Java source code abstractly and precisely.","1063-6773","0-7695-2213-0","","10.1109/ICSM.2004.1357865","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1357865","","Concrete;Java;Notice of Violation;Reverse engineering;Sections;Software maintenance;Unified modeling language","C++ language;Java;Smalltalk;Unified Modeling Language;diagrams;reverse engineering;software maintenance;software tools","C++;Java;Ptidej;Smalltalk;UML class diagram constituent recovery;reverse-engineered UML class diagrams;software maintenance","","","","0","","","","","20041122","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"A study on the current state of the art in tool-supported UML-based static reverse engineering","Kollmann, R.; Selonen, P.; Stroulia, E.; Systa, T.; Zundorf, A.","Dept. of Comput. Sci., Bremen Univ., Germany","Reverse Engineering, 2002. Proceedings. Ninth Working Conference on","2002","2002","","","22","32","Today, software-engineering research and industry alike recognize the need for practical tools to support reverse-engineering activities. Most of the well-known CASE tools support reverse engineering in some way. The Unified Modeling Language (UML) has emerged as the de facto standard for graphically representing the design of object-oriented software systems. However, there does not yet exist a standard scheme for representing the reverse-engineered models of these systems. The various CASE tools usually adopt proprietary extensions to UML and, as a result, it is difficult, or even impossible, to ensure that model semantics remains unambiguous when working with different tools at the same time. In this paper, we examine the capabilities of the two most successful industrial-strength CASE-tools in reverse engineering the static structure of software systems and compare them to the results produced by two academic prototypes. The comparisons are carried out both manually and automatically using a research prototype for manipulating and comparing UML models.","1095-1350","0-7695-1799-4","","10.1109/WCRE.2002.1173061","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1173061","","Computer aided software engineering;Computer industry;Object oriented modeling;Prototypes;Reverse engineering;Software design;Software prototyping;Software standards;Software systems;Unified modeling language","computer aided software engineering;reverse engineering;specification languages","CASE tools;Unified Modeling Language;object-oriented software systems;tool-supported UML-based static reverse engineering","","","","17","","","","","20030129","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"UML-based reverse engineering and model analysis approaches for software architecture maintenance","Riva, C.; Selonen, P.; Systa, T.; Xu, J.","","Software Maintenance, 2004. Proceedings. 20th IEEE International Conference on","11-14 Sept. 2004","2004","","","50","59","This paper proposes a UML-based software maintenance process. The process is guided by architectural descriptions and existing architectural models. The descriptions are given as variants of UML profiles describing the styles and rules relevant for a particular application domain. A reverse engineering subprocess, combining top-down and bottom-up reverse engineering activities, aims at constructing the architectural models. Resulting models are investigated in a model analysis subprocess. The models are checked against the profiles to find violations against the given architectural rules when maintaining and developing the subject system, and they are further analyzed using a set of UML model processing operations. The proposed approach is applied for maintaining a large-scale product platform architecture and real-life product-line products built on top of this platform. The model analysis results of the case study are discussed.","1063-6773","0-7695-2213-0","","10.1109/ICSM.2004.1357789","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1357789","","Application software;Computer architecture;Data mining;Laboratories;Object oriented modeling;Reverse engineering;Software architecture;Software maintenance;Software systems;Unified modeling language","Unified Modeling Language;reverse engineering;software architecture;software maintenance","UML;architectural rules;architecture analysis;bottom-up reverse engineering;large-scale product platform architecture;real-life product-line products;software architecture;software maintenance;top-down reverse engineering","","","","5","1","16","","","20041122","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Code querying by UML","Noguera, C.; De Roover, C.; Kellens, A.; Jonckers, V.","Software Languages Lab., Vrije Univ. Brussel, Brussels, Belgium","Program Comprehension (ICPC), 2012 IEEE 20th International Conference on","11-13 June 2012","2012","","","229","238","The need to identify source code that exhibits particular characteristics is essential to program comprehension. In this paper we introduce Arabica, a tool for querying Java code using UML class and sequence diagrams. Our use of UML diagrams avoids the need for developers to familiarize themselves with yet another language. In contrast to tools that rely on dedicated query languages, Arabica encodes querying semantics in a dedicated, minimal UML profile. Stereotyped class and sequence diagrams, characterizing structural and behavioral properties respectively, are translated into logic program queries. Using examples from the JHotDraw framework, we illustrate the utility of Arabica in validating design invariants, finding design pattern implementations and exploring extension points. We present a pre/post-test quasi experiment as a preliminary assessment of our approach.","1092-8138","978-1-4673-1213-4","978-1-4673-1215-8","10.1109/ICPC.2012.6240492","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240492","","Concrete;Database languages;Java;Mice;Semantics;Syntactics;Unified modeling language","Java;Unified Modeling Language;query processing;reverse engineering","Arabica;JHotDraw framework;Java code querying;UML class;behavioral properties;logic program queries;pre-posttest quasi experiment;program comprehension;sequence diagrams;source code identification;stereotyped class;structural properties","","","","1","","27","","","20120716","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Mappings for accurately reverse engineering UML class models from C++","Sutton, A.; Maletic, J.I.","Dept. of Comput. Sci., Kent State Univ., OH","Reverse Engineering, 12th Working Conference on","11-11 Nov. 2005","2005","","","10 pp.","184","The paper introduces a number of mapping rules for reverse engineering UML class models from C++ source code. The mappings focus on accurately identifying such elements as relationship types, multiplicities, and aggregation semantics. These mappings are based on domain knowledge of the C++ language and common programming conventions and idioms. An application implementing these heuristics is used to reverse engineer a moderately sized open source, C++ application, and the resultant class model is compared against those produced by other UML reverse engineering applications. A comparison shows that these presented mapping rules effectively produce meaningful, semantically accurate UML models","1095-1350","0-7695-2474-5","","10.1109/WCRE.2005.21","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566157","","Application software;Computer architecture;Computer science;Libraries;Logic;Open source software;Reverse engineering;Software tools;Testing;Unified modeling language","C++ language;Unified Modeling Language;reverse engineering","C++ language application;C++ source code;UML class model;Unified Modeling Language;aggregation semantics;domain knowledge;open source;reverse engineering application","","","","3","","18","","","20060103","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"A Reverse-Engineering Approach to Understanding B Specifications with UML Diagrams","Idani, A.; Ledru, Y.; Bert, D.","Lab. Logiciels, Systemes, Univ. Joseph Fourier, Saint Martin d''Heres","Software Engineering Workshop, 2006. SEW '06. 30th Annual IEEE/NASA","April 2006","2006","","","97","106","Formal methods are nowadays the most rigorous way to produce software. However, the existing formal notations are not easy to use and understand for most people. Our approach proposes to circumvent this shortcoming by producing complementary graphical views on the formal developments. This paper addresses the graphical representation of formal B specifications using UML diagrams. A reverse-engineering approach is proposed to generate several class diagrams showing the static aspects of the B developments. These diagrams can help understand the specification for stakeholders who are not familiar with the B method, such as customers or certification authorities. A concept formation technique based on weighted link matrices is proposed to improve automation","1550-6215","0-7695-2624-1","","10.1109/SEW.2006.6","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4090250","B;Concept formation;Formal concept analysis.;UML","Application software;Automation;Certification;Documentation;Formal specifications;Programming;Rail transportation;Refining;Smart cards;Unified modeling language","Unified Modeling Language;formal specification;reverse engineering","B specifications;UML diagrams;class diagrams;concept formation technique;formal concept analysis;graphical representation;reverse-engineering approach;weighted link matrices","","","","1","","23","","","20070212","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Toward the Reverse Engineering of UML Sequence Diagrams for Distributed Java Software","Briand, L.C.; Labiche, Y.; Leduc, J.","Dept. of Syst. & Comput. Eng., Carleton Univ., Ottawa, Ont.","Software Engineering, IEEE Transactions on","Sept. 2006","2006","32","9","642","663","This paper proposes a methodology and instrumentation infrastructure toward the reverse engineering of UML (Unified Modeling Language) sequence diagrams from dynamic analysis. One motivation is, of course, to help people understand the behavior of systems with no (complete) documentation. However, such reverse-engineered dynamic models can also be used for quality assurance purposes. They can, for example, be compared with design sequence diagrams and the conformance of the implementation to the design can thus be verified. Furthermore, discrepancies can also suggest failures in meeting the specifications. Due to size constraints, this paper focuses on the distribution aspects of the methodology we propose. We formally define our approach using metamodels and consistency rules. The instrumentation is based on aspect-oriented programming in order to alleviate the effort overhead usually associated with source code instrumentation. A case study is discussed to demonstrate the applicability of the approach on a concrete example","0098-5589","","","10.1109/TSE.2006.96","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1707665","AspectJ;OCL.;RMI;UML;distribution;reverse engineering;sequence diagram","Documentation;Information retrieval;Instruments;Java;Object oriented modeling;Quality assurance;Reverse engineering;Runtime;Testing;Unified modeling language","Java;Unified Modeling Language;formal specification;formal verification;object-oriented programming;program diagnostics;reverse engineering;software quality","UML sequence diagram;Unified Modeling Language;aspect-oriented programming;consistency rule;distributed Java software;dynamic program analysis;formal specification;formal verification;metamodel;quality assurance;reverse engineering;source code instrumentation","","","","47","","41","","","20061009","","IEEE","IEEE Computer Society","IEEE Journals & Magazines","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"An Approach for Reverse Engineering of Web Applications","Sun Weijun; Li Shixian; Liu Xianming","Dept. of Comput. Sci., SUN YAT-SEN Univ., Guangzhou","Information Science and Engineering, 2008. ISISE '08. International Symposium on","20-22 Dec. 2008","2008","2","","98","102","Web applications are the legacy software of the future. The Web application reverse-engineering process becomes necessary in order to facilitate the maintenance and evolution. This paper presents an approach to recover the architecture of web applications. The approach generates UML models from existing web applications through static and dynamic techniques. UML diagrams are extracted to depict the static, dynamic and behavioral aspect of Web applications. Finally, the architecture of the tool is described.","","978-1-4244-2727-4","","10.1109/ISISE.2008.86","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4732352","UML;Web application;legacy software;reverse engineering","","Internet;Unified Modeling Language;reverse engineering;software maintenance","UML models;Web applications;legacy software;reverse-engineering process","","","","2","","22","","","20081230","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Automated Reverse Engineering of UML Sequence Diagrams for Dynamic Web Applications","Alalfi, M.H.; Cordy, J.R.; Dean, T.R.","Sch. of Comput., Queen''s Univ., Kingston, ON","Software Testing, Verification and Validation Workshops, 2009. ICSTW '09. International Conference on","1-4 April 2009","2009","","","287","294","This paper presents an approach and tool to automatically instrument dynamic Web applications using source transformation technology, and to reverse engineer a UML 2.1 sequence diagram from the execution traces generated by the resulting instrumentation. The result can be directly imported and visualized in a UML toolset such as rational software architect. Our approach dynamically filters traces to reduce redundant information that may complicate program understanding. While our current implementation works on PHP-based applications, the framework is easily extended to other scripting languages in plug-and-play fashion. In addition to supporting web application understanding, our tool is being used to recover traces from dynamic Web applications in support of Web application security analysis and testing. We demonstrate our method on the analysis of the popular Internet bulletin board system PhpBB 2.0.","","978-1-4244-4356-7","","10.1109/ICSTW.2009.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4976398","web applications modeling;web applications testing","Application software;Information filtering;Information filters;Information security;Instruments;Reverse engineering;Software tools;Testing;Unified modeling language;Visualization","Internet;Unified Modeling Language;program testing;reverse engineering;security of data;software architecture","Internet bulletin board system;PHP-based applications;PhpBB 2.0;UML 2.1 sequence diagram;Web application security analysis;Web application security testing;automated reverse engineering;plug-and-play fashion;rational software architect;source transformation technology","","","","3","","24","","","20090526","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Combining MDE and UML to Reverse Engineer Web-Based Legacy Systems","Jianjun Pu; Yang, H.; Baowen Xu; Lei Xu; Chu, W.C.-C.","Software Technol. Res. Lab., De Montfort Univ., Leicester","Computer Software and Applications, 2008. COMPSAC '08. 32nd Annual IEEE International","July 28 2008-Aug. 1 2008","2008","","","718","725","The research in this paper focuses on an approach to reverse engineering Web-based legacy systems with the integration of model-driven engineering and UML. Three types of link-based models of Web-based legacy systems are presented. Web-based legacy systems are parsed to find judgement conditions of model, and UML diagrams are described based on the modelling rules.","0730-3157","978-0-7695-3262-2","978-0-7695-3262-2","10.1109/COMPSAC.2008.63","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4591655","Model-Driven Engineering;Reverse Engineering;Unified Modelling Language;Web-based Legacy System","Application software;Computer applications;Computer science;Displays;Internet;Laboratories;Model driven engineering;Reverse engineering;Unified modeling language;Web pages","Internet;Unified Modeling Language;software maintenance","UML diagrams;Web-based legacy systems;model-driven engineering;reverse engineering","","","","1","","5","","","20080808","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"A Fully Dynamic Approach to the Reverse Engineering of UML Sequence Diagrams","Ziadi, T.; da Silva, M.A.A.; Hillah, L.M.; Ziane, M.","LIP6-MoVe, Univ. Pierre et Marie Curie, Paris, France","Engineering of Complex Computer Systems (ICECCS), 2011 16th IEEE International Conference on","27-29 April 2011","2011","","","107","116","The reverse engineering of behavioral models consists in extracting high-level models that help understand the behavior of existing software systems. In the context of reverse engineering of sequence diagrams, most approaches strongly depend on the static analysis and instrumentation of the source code to produce correct diagrams that take into account control flow structures such as alternative blocks (""if""s) and repeated blocks (""loop""s). This approach is not possible with systems for which no source code is available anymore (e.g. some legacy systems). In this paper, we propose an approach for the reverse engineering of sequence diagrams from the analysis of execution traces produced dynamically by an object-oriented application. Our approach is fully based on dynamic analysis and reuses the k-tail merging algorithm to produce a Labeled Transition System (LTS) that merges the collected traces. This LTS is then translated into a sequence diagram which contains alternatives and loops. A prototype of this approach has been tested with a real world application that has been developed independently from the present work. Our results show that this approach can produce sequence diagrams in reasonable time and suggest that these diagrams are helpful in understanding the behavior of the underlying application.","","978-1-61284-853-2","978-0-7695-4381-9","10.1109/ICECCS.2011.18","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5773385","UML sequence diagrams;execution traces;reverse engineering","Asynchronous transfer mode;Java;Merging;Object oriented modeling;Prototypes;Reverse engineering;Unified modeling language","Unified Modeling Language;merging;object-oriented programming;program control structures;program diagnostics;reverse engineering","UML sequence diagram;alternative block;behavioral model;control flow structure;fully dynamic approach;k-tail merging algorithm;labeled transition system;object-oriented application;repeated block;reverse engineering;software system behavior;source code instrumentation;static analysis","","","","2","","22","","","20110527","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"A Metamodel to Carry Out Reverse Engineering of C++ Code into UML Sequence Diagrams","Lopez, S.M.; Alfonzo, G.A.; Perez OJ; Gonzalez, S.J.G.; Montes, R.A.","Comput. Sci. Dept., Nat. Center of Res. & Technol. Dev., Morelos","Electronics, Robotics and Automotive Mechanics Conference, 2006","26-29 Sept. 2006","2006","2","","331","336","When the documentation about the sequence of interactions among the objects in a program is not available but it is required, some work has to be done to document and to obtain the sequence diagrams either by making it in a manual way, or to apply a reverse engineering process that helps to recover the individual diagrams. The present work proposes a computerized method that interprets the characteristics of programs written in C++ code and applies a conversion algorithm that obtains the UML sequence diagrams. To test the method and their conversion algorithm a study case using the work carried out at Gordon College has been taken, which is an automatic teller machine simulator system written in C++","","0-7695-2569-5","","10.1109/CERMA.2006.100","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4019815","","Algorithm design and analysis;Data mining;Documentation;Information analysis;Object oriented modeling;Reverse engineering;Software maintenance;Software systems;Unified modeling language;Visualization","C++ language;Unified Modeling Language;object-oriented programming;reverse engineering;software maintenance;system documentation","C++ code;UML sequence diagram;automatic teller machine simulator system;conversion algorithm;meta model;program documentation;reverse engineering","","","","0","","15","","","20061204","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
